,NAME,ADDRESS_1,CATE,SUBCATE,STATION_NAME,LAT_1,LON_1
61,크리스피크림도넛길동역점,서울 강동구 양재대로 1473-0,맛집,간이음식,길동,37.53751219,127.1395888
62,테라로사길동점,서울 강동구 천호대로 1221-0,맛집,카페/찻집,길동,37.53604958,127.1463728
63,폴바셋상일동점,서울 강동구 상일로6길 21-0,맛집,카페/찻집,강일,37.5497419,127.1743552
64,푸주옥,서울 강동구 강동대로 209-0,맛집,한식,교대,37.5238568,127.1297953
65,풍년상회쪽갈비,서울 강동구 천호옛14길 23-6,맛집,한식,노원,37.53636689,127.1269238
66,한촌설렁탕강동점,서울 강동구 진황도로 110-0,맛집,한식,길동,37.535016,127.1382639
67,할머니추어탕,서울 강동구 구천면로 516-0,맛집,한식,부평삼거리,37.54900614,127.1556648
68,함경면옥,서울 강동구 강동대로 215-0,맛집,기타음식,올림픽공원,37.52354721,127.1301307
69,함흥본가면옥강동점,서울 강동구 양재대로 1428-0,맛집,한식,길동,37.53334801,127.1388461
70,화진포막국수,서울 강동구 성내로10길 12-0,맛집,한식,강동구청,37.52843928,127.1245376
71,황도바지락칼국수,서울 강동구 천호대로 1256-0,맛집,한식,석촌,37.53684895,127.1501757
0,LAB1004,서울 금천구 벚꽃로 104-0,맛집,카페/찻집,독산,37.46456408,126.8910696
1,가산물갈비&백년불고기,서울 금천구 가산디지털1로 128-0,맛집,한식,가산디지털단지,37.47723652,126.8836952
2,강강술래시흥점,서울 금천구 시흥대로 193-0,맛집,한식,금천구청,37.45099327,126.9012779
3,개성손만두요리전문점가산디지털점,서울 금천구 가산로9길 22-0,맛집,한식,가산디지털단지,37.47684165,126.8905299
4,궁전산들애밥상,서울 금천구 독산로 178-1,맛집,한식,독산,37.46324816,126.9039601
5,김명태매운갈비찜가산점,서울 금천구 가산로 132-1,맛집,한식,가산디지털단지,37.47734912,126.8919219
6,김밥전문공간얌얌,서울 금천구 금하로 675-0,맛집,간이음식,독산,37.45279752,126.9054298
7,논빼미돼지볶음,서울 금천구 시흥대로 185-0,맛집,한식,독산,37.45035977,126.9018324
8,더카페이네스트점,서울 금천구 범안로 1155-0,맛집,카페/찻집,독산,37.46681871,126.8900295
9,도넛 인사이드 도넛,서울 금천구 시흥대로141길 81-0,맛집,간이음식,가산디지털단지,37.47650429,126.8976418
10,도원,서울 금천구 범안로 1130-0,맛집,외국식,독산,37.46552156,126.8876722
11,독산동먹자골목,서울 금천구,맛집,기타음식,독산,37.45684115,126.8954568
12,동남집,서울 금천구 가산디지털1로 149-0,맛집,한식,가산디지털단지,37.47874164,126.8818627
13,동흥관,서울 금천구 시흥대로63길 20-0,맛집,외국식,금천구청,37.45522396,126.8985984
14,두껍삼가산직영점,서울 금천구 벚꽃로38길 43-0,맛집,한식,가산디지털단지,37.48301816,126.884759
15,떡볶이랑걸레만두랑,서울 금천구 시흥대로58길 13-0,맛집,간이음식,금천구청,37.45383936,126.9022223
16,로운샤브샤브금천점,서울 금천구 시흥대로 291-0,맛집,외국식,금천구청,37.45995605,126.8966992
17,마벨리에시흥점,서울 금천구 시흥대로 201-0,맛집,전문음식,금천구청,37.45190478,126.9007948
18,만두라,서울 금천구 시흥대로 97-0,맛집,한식,석수,37.44468212,126.9010724
