NAME,ADDRESS,CATE,SUBCATE,STATION_NAME
포레스트청담,서울 강남구 선릉로 803-0,맛집,외국식,압구정역
포브라더스도곡점,서울 강남구 논현로28길 40-0,맛집,외국식,매봉역
피양옥,서울 강남구 삼성로133길 14-0,맛집,한식,청담역
필경재,서울 강남구 광평로 205-0,맛집,한식,수서역
한성칼국수논현점,서울 강남구 언주로148길 14-0,맛집,한식,강남구청역
한우리본점,서울 강남구 도산대로 304-0,맛집,한식,강남구청역
한일관압구정점,서울 강남구 압구정로38길 14-0,맛집,한식,압구정역
할매재첩국대치점,서울 강남구 삼성로 308-0,맛집,한식,대치역
해목,서울 강남구 선릉로145길 14-0,맛집,외국식,강남구청역
흑돈가삼성직영점,서울 강남구 봉은사로86길 14-0,맛집,한식,삼성역
