"T_IDX","STATION_NAME","T_NAME","CATE","ADDRESS","LAT","LON"
128,"건대입구","선남SEA","맛집","서울 광진구 자양번영로 62-0",37.535004,127.07648
129,"건대입구","뽕사부건대점","맛집","서울 광진구 아차산로 205-0",37.541683,127.06638
130,"건대입구","매화반점건대점 ","맛집","서울 광진구 동일로18길 96-0",37.538357,127.06792
131,"건대입구","로니로티건대점","맛집","서울 광진구 아차산로 225-0",37.540916,127.06848
132,"건대입구","라구뜨","맛집","서울 광진구 능동로 90-0",37.538364,127.07092
133,"건대입구","등촌샤브칼국수자양점","맛집","서울 광진구 자양번영로 84-1",37.537014,127.07709
134,"건대입구","남한강민물매운탕","맛집","서울 광진구 동일로 150-0",37.545628,127.06621
135,"건대입구","귀품찬숯불갈비건대직영점","맛집","서울 광진구 아차산로 192-0",37.541557,127.064964
136,"건대입구","경복궁불고기건대점","맛집","서울 광진구 능동로 92-0",37.539,127.07121
137,"건대입구","건대우동집","맛집","서울 광진구 아차산로 201-0",37.54175,127.06602
138,"건대입구","건대양꼬치거리","맛집","서울 광진구",37.53856,127.08238
139,"건대입구","성수낙낙","관광지","서울 성동구 아차산로17길 48-0",37.54643041,127.0659668
140,"건대입구","나루아트센터/대공연장","관광지","서울 광진구 능동로 76-0",37.53755005,127.070614
141,"경복궁","무궁화동산","관광지","서울 종로구",37.58423849,126.9722891
142,"경복궁","사직공원","관광지","서울 종로구 사직로 89-0",37.57579499,126.967623
143,"경복궁","토속촌삼계탕","맛집","서울 종로구 자하문로5길 5-0",37.577602,126.971634
144,"경복궁","스태픽스","맛집","서울 종로구 사직로9길 22-0",37.577473,126.96788
145,"경복궁","효자베이커리","맛집","서울 종로구 필운대로 54-0",37.58094,126.968666
146,"경복궁","아키비스트","맛집","서울 종로구 효자로13길 52-0",37.58222,126.97268
147,"경복궁","경복궁","맛집","서울 종로구 사직로 101-0",37.5763,126.97
148,"경복궁","국립어린이박물관","관광지","서울 종로구 삼청로 37-0",37.58173882,126.978983
149,"경복궁","청와대/영빈문","관광지","서울 종로구 청와대로 1-0",37.58396075,126.9737334
150,"경복궁","청와대/춘추관","관광지","서울 종로구 청와대로 1-0",37.58401633,126.9790663
151,"경복궁","청와대앞길","관광지","서울 종로구",37.58384967,126.9765387
152,"경복궁","청와대/춘추문","관광지","서울 종로구 청와대로 1-0",37.58371081,126.9792052
153,"경복궁","석파정","관광지","서울 종로구",37.59498728,126.9624827
154,"경복궁","그라운드시소/서촌","관광지","서울 종로구 자하문로6길 18-8",37.57787711,126.9729279
155,"경복궁","통인시장","관광지","서울 종로구 자하문로15길 18-0",37.5807111,126.9700394
156,"경복궁","국립민속박물관","관광지","서울 종로구 삼청로 37-0",37.58168327,126.9789274
157,"경복궁","국립고궁박물관","관광지","서울 종로구 효자로 12-0",37.57661538,126.97497
158,"경복궁","청와대사랑채","관광지","서울 종로구 효자로13길 45-0",37.58259979,126.9731224
159,"경복궁","서울미술관","관광지","서울 종로구 자하문로 231-0",37.59473722,126.9632343
160,"경복궁","청와대/정문","관광지","서울 종로구 청와대로 1-0",37.58443293,126.9752055
161,"경복궁","광화문","관광지","서울 종로구 사직로 161-0",37.57604502,126.9769277
162,"경복궁","청와대","관광지","서울 종로구 청와대로 1-0",37.58559947,126.9764276
163,"경복궁","북악팔각정","관광지","서울 종로구 북악산로 267-0",37.60159764,126.9806493
164,"경복궁","팔각정북악스카이","관광지","서울 종로구 북악산로 267-0",37.60159764,126.9806493
165,"경복궁","경복궁","관광지","서울 종로구 사직로 161-0",37.57807256,126.9768999
166,"경복궁","들풀청운동점","맛집","서울 종로구 자하문로 118-0",37.586426,126.97014
167,"경찰병원","함경도찹쌀순대","맛집","서울 송파구 송파대로28길 32-0",37.494736,127.1213
